"fish_id","feed_id","day_feed","prop_pos","ts_feeding","month","tl_mm","weight_g","w_gain","l_gain","year","arcsin_prop","id_month","date","ndate","year_f","nyear","nmonth","doy","new_time"
"T475053_1","d2feed_1",3,0,2022-06-24 10:00:00,6,305,463,647,116,2022,0,"d2feed_1_2022",19169,19169,"2022",2022,6,177,13
"T475053_1","d2feed_8",1,0.00199004975124378,2022-07-28 08:00:00,7,305,463,647,116,2022,0.0446247829515921,"d2feed_8_2022",19201,19201,"2022",2022,7,209,205
"T475053_1","d2feed_13",6,0.0177304964539007,2022-08-18 05:30:00,8,305,463,647,116,2022,0.133552570116466,"d2feed_13_2022",19227,19227,"2022",2022,8,235,331
"T475053_1","d2feed_16",1,0.550774526678141,2022-09-05 08:00:00,9,305,463,647,116,2022,0.836260363803164,"d2feed_16_2022",19240,19240,"2022",2022,9,248,383
"T475053_1","d2feed_7",1,0.0133333333333333,2022-07-25 08:30:00,7,305,463,647,116,2022,0.115728205889313,"d2feed_7_2022",19198,19198,"2022",2022,7,206,187
"T475053_1","d2feed_10",2,0.0031813361611877,2022-08-09 08:30:00,8,305,463,647,116,2022,0.0564332838869384,"d2feed_10_2022",19214,19214,"2022",2022,8,222,274
"T475053_1","d2feed_14",3,0.00542888165038002,2022-08-24 08:30:00,8,305,463,647,116,2022,0.0737477758797085,"d2feed_14_2022",19230,19230,"2022",2022,8,238,343
"T475053_1","d2feed_1",5,0,2022-06-24 10:00:00,6,305,463,647,116,2022,0,"d2feed_1_2022",19171,19171,"2022",2022,6,179,25
"T475053_1","d2feed_7",3,0.00196850393700787,2022-07-25 08:30:00,7,305,463,647,116,2022,0.0443823947535457,"d2feed_7_2022",19200,19200,"2022",2022,7,208,199
"T475053_1","d2feed_10",1,0.0161812297734628,2022-08-09 08:30:00,8,305,463,647,116,2022,0.127551041946843,"d2feed_10_2022",19213,19213,"2022",2022,8,221,269
"T475053_1","d2feed_15",4,0.00286532951289398,2022-08-30 08:00:00,8,305,463,647,116,2022,0.0535543687030699,"d2feed_15_2022",19237,19237,"2022",2022,9,245,371
"T475053_1","d2feed_7",2,0.00844390832328106,2022-07-25 08:30:00,7,305,463,647,116,2022,0.0920205545932325,"d2feed_7_2022",19199,19199,"2022",2022,7,207,193
"T475053_1","d2feed_5",2,0.00295420974889217,2022-07-18 08:30:00,7,305,463,647,116,2022,0.0543794396768969,"d2feed_5_2022",19192,19192,"2022",2022,7,200,151
"T475053_1","d2feed_3",4,0.0767097966728281,2022-07-07 09:00:00,7,305,463,647,116,2022,0.280634450270277,"d2feed_3_2022",19183,19183,"2022",2022,7,191,97
"T475053_1","d2feed_6",1,0.115044247787611,2022-07-21 08:40:00,7,305,463,647,116,2022,0.346046930889231,"d2feed_6_2022",19194,19194,"2022",2022,7,202,163
"T475053_1","d2feed_1",4,0.00082576383154417,2022-06-24 10:00:00,6,305,463,647,116,2022,0.028740063100169,"d2feed_1_2022",19170,19170,"2022",2022,6,178,19
"T475053_1","d2feed_15",6,0.009,2022-08-30 08:00:00,8,305,463,647,116,2022,0.0950112117313553,"d2feed_15_2022",19239,19239,"2022",2022,9,247,379
"T475053_1","d2feed_3",3,0.0265111346765642,2022-07-07 09:00:00,7,305,463,647,116,2022,0.163550557489716,"d2feed_3_2022",19182,19182,"2022",2022,7,190,91
"T475053_1","d2feed_9",3,0.00102774922918808,2022-08-04 08:40:00,8,305,463,647,116,2022,0.0320640220777155,"d2feed_9_2022",19210,19210,"2022",2022,8,218,254
"T475053_1","d2feed_14",5,0.010507880910683,2022-08-24 08:30:00,8,305,463,647,116,2022,0.102688333150978,"d2feed_14_2022",19232,19232,"2022",2022,8,240,351
"T475053_1","d2feed_8",5,0.0140845070422535,2022-07-28 08:00:00,7,305,463,647,116,2022,0.118958533703202,"d2feed_8_2022",19205,19205,"2022",2022,8,213,229
"T475053_1","d2feed_12",3,0.00467836257309942,2022-08-15 09:00:00,8,305,463,647,116,2022,0.0684520016057101,"d2feed_12_2022",19221,19221,"2022",2022,8,229,307
"T475053_1","d2feed_6",2,0.0139275766016713,2022-07-21 08:40:00,7,305,463,647,116,2022,0.118290829592272,"d2feed_6_2022",19195,19195,"2022",2022,7,203,169
"T475053_1","d2feed_17",2,0.00779220779220779,2022-09-08 10:00:00,9,305,463,647,116,2022,0.0883885276994,"d2feed_17_2022",19244,19244,"2022",2022,9,252,399
"T475053_1","d2feed_3",6,0.00340522133938706,2022-07-07 09:00:00,7,305,463,647,116,2022,0.0583874434434844,"d2feed_3_2022",19185,19185,"2022",2022,7,193,109
"T475053_1","d2feed_3",1,0.372328458942632,2022-07-07 09:00:00,7,305,463,647,116,2022,0.656296897579502,"d2feed_3_2022",19180,19180,"2022",2022,7,188,79
"T475053_1","d2feed_13",4,0.00105042016806723,2022-08-18 05:30:00,8,305,463,647,116,2022,0.0324158629135509,"d2feed_13_2022",19225,19225,"2022",2022,8,233,323
"T475053_1","d2feed_9",4,0.0587002096436059,2022-08-04 08:40:00,8,305,463,647,116,2022,0.244716479719754,"d2feed_9_2022",19211,19211,"2022",2022,8,219,259
"T475053_1","d2feed_2",2,0.289517470881864,2022-06-30 09:00:00,6,305,463,647,116,2022,0.568143673959111,"d2feed_2_2022",19174,19174,"2022",2022,7,182,43
"T475053_1","d2feed_1",2,0.00655737704918033,2022-06-24 10:00:00,6,305,463,647,116,2022,0.0810663953351201,"d2feed_1_2022",19168,19168,"2022",2022,6,176,7
"T475053_1","d2feed_6",3,0.0184331797235023,2022-07-21 08:40:00,7,305,463,647,116,2022,0.136189453584374,"d2feed_6_2022",19196,19196,"2022",2022,7,204,175
"T475053_1","d2feed_9",1,0.0721442885771543,2022-08-04 08:40:00,8,305,463,647,116,2022,0.271936096039433,"d2feed_9_2022",19208,19208,"2022",2022,8,216,244
"T475053_1","d2feed_14",1,0.203007518796992,2022-08-24 08:30:00,8,305,463,647,116,2022,0.467396502022288,"d2feed_14_2022",19228,19228,"2022",2022,8,236,335
"T475053_1","d2feed_14",4,0.0183276059564719,2022-08-24 08:30:00,8,305,463,647,116,2022,0.13579646724157,"d2feed_14_2022",19231,19231,"2022",2022,8,239,347
"T475053_1","d2feed_1",6,0,2022-06-24 10:00:00,6,305,463,647,116,2022,0,"d2feed_1_2022",19172,19172,"2022",2022,6,180,31
"T475053_1","d2feed_17",5,0.00496894409937888,2022-09-08 10:00:00,9,305,463,647,116,2022,0.0705492460282943,"d2feed_17_2022",19247,19247,"2022",2022,9,255,411
